1	安徽
2	北京
3	重庆
4	福建
5	甘肃
6	广东
7	广西
8	贵州
9	海南
10	河北
11	黑龙江
12	河南
13	湖北
14	湖南
15	内蒙古
16	江苏
17	江西
18	吉林
19	辽宁
20	宁夏
21	青海
22	山西
23	山东
24	上海
25	四川
26	天津
27	西藏
28	新疆
29	云南
30	浙江
31	陕西
